,link,type,year
111,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsMayorRecap.pdf,General,2005
112,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsProposal1Recap.pdf,General,2005
113,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsProposal2Recap.pdf,General,2005
114,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsPublicAdvocateRecap.pdf,General,2005
115,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsQuestion3Recap.pdf,General,2005
116,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsQuestion4Recap.pdf,General,2005
117,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsSupremeCourt2Recap.pdf,General,2005
118,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsSurrogateRecap.pdf,General,2005
119,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensBoroughPresidentRe-Cap.pdf,General,2005
120,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensBudgetAndFiscalRequirementsRe-Cap.pdf,General,2005
121,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityComptrollerRe-Cap.pdf,General,2005
122,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict19Re-Cap.pdf,General,2005
123,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict20Re-Cap.pdf,General,2005
124,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict21Re-Cap.pdf,General,2005
125,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict22Re-Cap.pdf,General,2005
126,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict23Re-Cap.pdf,General,2005
127,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict24Re-Cap.pdf,General,2005
128,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict25Re-Cap.pdf,General,2005
129,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict26Re-Cap.pdf,General,2005
130,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict27Re-Cap.pdf,General,2005
131,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict28Re-Cap.pdf,General,2005
132,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict29Re-Cap.pdf,General,2005
133,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict30Re-Cap.pdf,General,2005
134,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict31Re-Cap.pdf,General,2005
135,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict32Re-Cap.pdf,General,2005
136,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensCityCouncilDistrict34Re-Cap.pdf,General,2005
137,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensEthicsCodeForJudgesRe-Cap.pdf,General,2005
138,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensJudgeCivilCourtDistrict4Re-Cap.pdf,General,2005
139,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensJudgeOfTheCivilCourtRe-Cap.pdf,General,2005
140,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensJusticeOfSupremeCourtDistrict11Re-Cap.pdf,General,2005
141,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensMayorRe-Cap.pdf,General,2005
142,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensProposal2Re-Cap.pdf,General,2005
143,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensProposal1Re-Cap.pdf,General,2005
144,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensPublicAdvocateRe-Cap.pdf,General,2005
145,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Queens/QueensSurrogateRe-Cap.pdf,General,2005
146,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondBoroughPresidentRe-Cap.pdf,General,2005
147,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondBudgetAndFiscalRequirementsRe-Cap.pdf,General,2005
148,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondCityComptrollerRe-Cap.pdf,General,2005
149,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondCityCouncilDistrict49Re-Cap.pdf,General,2005
150,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondCityCouncilDistrict50Re-Cap.pdf,General,2005
151,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/StatenIsland/RichmondCityCouncilDistrict51Re-Cap.pdf,General,2005
